urn:cts:greekLit:tlg0012.tlg001.omar:1.1	μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆοσ
urn:cts:greekLit:tlg0012.tlg001.omar:1.2	οὐλομένην, ἣ μυρί' Ἀχαιοῖς ἄλγε' ἔθηκε,
urn:cts:greekLit:tlg0012.tlg001.omar:1.3	πολλὰς δ' ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν
urn:cts:greekLit:tlg0012.tlg001.omar:1.4	ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν
urn:cts:greekLit:tlg0012.tlg001.omar:1.5	οἰωνοῖσί τε πᾶσι, Διὸς δ' ἐτελείετο βουλή,
urn:cts:greekLit:tlg0012.tlg001.omar:1.6	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
urn:cts:greekLit:tlg0012.tlg001.omar:1.7	Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύσ.
urn:cts:greekLit:tlg0012.tlg001.omar:1.8	τίς τ' ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
urn:cts:greekLit:tlg0012.tlg001.omar:1.9	Λητοῦς καὶ Διὸς υἱόσ: ὃ γὰρ βασιλῆϊ χολωθεὶσ
urn:cts:greekLit:tlg0012.tlg001.omar:1.10	νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,
urn:cts:greekLit:tlg0012.tlg001.omar:1.11	οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα
urn:cts:greekLit:tlg0012.tlg001.omar:1.12	Ἀτρεΐδησ: ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν
urn:cts:greekLit:tlg0012.tlg001.omar:1.13	λυσόμενός τε θύγατρα φέρων τ' ἀπερείσι' ἄποινα,
urn:cts:greekLit:tlg0012.tlg001.omar:1.14	στέμματ' ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνοσ
urn:cts:greekLit:tlg0012.tlg001.omar:1.15	χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούσ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.16	Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν:
urn:cts:greekLit:tlg0012.tlg001.omar:1.17	Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,
urn:cts:greekLit:tlg0012.tlg001.omar:1.18	ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ' ἔχοντεσ
urn:cts:greekLit:tlg0012.tlg001.omar:1.19	ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ' οἴκαδ' ἱκέσθαι:
urn:cts:greekLit:tlg0012.tlg001.omar:1.20	παῖδα δ' ἐμοὶ λύσαιτε φίλην, τὰ δ' ἄποινα δέχεσθαι,
urn:cts:greekLit:tlg0012.tlg001.omar:1.21	ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.
urn:cts:greekLit:tlg0012.tlg001.omar:1.22	ἔνθ' ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ
urn:cts:greekLit:tlg0012.tlg001.omar:1.23	αἰδεῖσθαί θ' ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα:
urn:cts:greekLit:tlg0012.tlg001.omar:1.24	ἀλλ' οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.25	ἀλλὰ κακῶς ἀφίει, κρατερὸν δ' ἐπὶ μῦθον ἔτελλε:
urn:cts:greekLit:tlg0012.tlg001.omar:1.26	μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω
urn:cts:greekLit:tlg0012.tlg001.omar:1.27	ἢ νῦν δηθύνοντ' ἢ ὕστερον αὖτις ἰόντα,
urn:cts:greekLit:tlg0012.tlg001.omar:1.28	μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο:
urn:cts:greekLit:tlg0012.tlg001.omar:1.29	τὴν δ' ἐγὼ οὐ λύσω: πρίν μιν καὶ γῆρας ἔπεισιν
urn:cts:greekLit:tlg0012.tlg001.omar:1.30	ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρησ
urn:cts:greekLit:tlg0012.tlg001.omar:1.31	ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν:
urn:cts:greekLit:tlg0012.tlg001.omar:1.32	ἀλλ' ἴθι μή μ' ἐρέθιζε σαώτερος ὥς κε νέηαι.
urn:cts:greekLit:tlg0012.tlg001.omar:1.33	ὣς ἔφατ', ἔδεισεν δ' ὃ γέρων καὶ ἐπείθετο μύθῳ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.34	βῆ δ' ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσησ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.35	πολλὰ δ' ἔπειτ' ἀπάνευθε κιὼν ἠρᾶθ' ὃ γεραιὸσ
urn:cts:greekLit:tlg0012.tlg001.omar:1.36	Ἀπόλλωνι ἄνακτι, τὸν ἠΰκομος τέκε Λητώ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.37	κλῦθί μευ ἀργυρότοξ', ὃς Χρύσην ἀμφιβέβηκασ
urn:cts:greekLit:tlg0012.tlg001.omar:1.38	Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεισ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.39	Σμινθεῦ εἴ ποτέ τοι χαρίεντ' ἐπὶ νηὸν ἔρεψα,
urn:cts:greekLit:tlg0012.tlg001.omar:1.40	ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί' ἔκηα
urn:cts:greekLit:tlg0012.tlg001.omar:1.41	ταύρων ἠδ' αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.42	τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.
urn:cts:greekLit:tlg0012.tlg001.omar:1.43	ὣς ἔφατ' εὐχόμενοσ, τοῦ δ' ἔκλυε Φοῖβος Ἀπόλλων,
urn:cts:greekLit:tlg0012.tlg001.omar:1.44	βῆ δὲ κατ' Οὐλύμποιο καρήνων χωόμενος κῆρ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.45	τόξ' ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην:
urn:cts:greekLit:tlg0012.tlg001.omar:1.46	ἔκλαγξαν δ' ἄρ' ὀϊστοὶ ἐπ' ὤμων χωομένοιο,
urn:cts:greekLit:tlg0012.tlg001.omar:1.47	αὐτοῦ κινηθέντοσ: ὃ δ' ἤϊε νυκτὶ ἐοικώσ.
urn:cts:greekLit:tlg0012.tlg001.omar:1.48	ἕζετ' ἔπειτ' ἀπάνευθε νεῶν, μετὰ δ' ἰὸν ἕηκε:
urn:cts:greekLit:tlg0012.tlg001.omar:1.49	δεινὴ δὲ κλαγγὴ γένετ' ἀργυρέοιο βιοῖο:
urn:cts:greekLit:tlg0012.tlg001.omar:1.50	οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούσ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.51	αὐτὰρ ἔπειτ' αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶσ
urn:cts:greekLit:tlg0012.tlg001.omar:1.52	βάλλ': αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.
urn:cts:greekLit:tlg0012.tlg001.omar:1.53	ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,
urn:cts:greekLit:tlg0012.tlg001.omar:1.54	τῇ δεκάτῃ δ' ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύσ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.55	τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη:
urn:cts:greekLit:tlg0012.tlg001.omar:1.56	κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.
urn:cts:greekLit:tlg0012.tlg001.omar:1.57	οἳ δ' ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,
urn:cts:greekLit:tlg0012.tlg001.omar:1.58	τοῖσι δ' ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύσ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.59	Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω
urn:cts:greekLit:tlg0012.tlg001.omar:1.60	ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,
urn:cts:greekLit:tlg0012.tlg001.omar:1.61	εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούσ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.62	ἀλλ' ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα
urn:cts:greekLit:tlg0012.tlg001.omar:1.63	ἢ καὶ ὀνειροπόλον, καὶ γάρ τ' ὄναρ ἐκ Διός ἐστιν,
urn:cts:greekLit:tlg0012.tlg001.omar:1.64	ὅς κ' εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,
urn:cts:greekLit:tlg0012.tlg001.omar:1.65	εἴτ' ἄρ' ὅ γ' εὐχωλῆς ἐπιμέμφεται ἠδ' ἑκατόμβησ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.66	αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων
urn:cts:greekLit:tlg0012.tlg001.omar:1.67	βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.
urn:cts:greekLit:tlg0012.tlg001.omar:1.68	ἤτοι ὅ γ' ὣς εἰπὼν κατ' ἄρ' ἕζετο: τοῖσι δ' ἀνέστη
urn:cts:greekLit:tlg0012.tlg001.omar:1.69	Κάλχας Θεστορίδης οἰωνοπόλων ὄχ' ἄριστοσ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.70	ὃς ᾔδη τά τ' ἐόντα τά τ' ἐσσόμενα πρό τ' ἐόντα,
urn:cts:greekLit:tlg0012.tlg001.omar:1.71	καὶ νήεσσ' ἡγήσατ' Ἀχαιῶν Ἴλιον εἴσω
urn:cts:greekLit:tlg0012.tlg001.omar:1.72	ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος Ἀπόλλων:
